"i","N","p_hat"
0,85,0.00569018610255724
1,72,0.00481992234569554
2,40,0.00267773463649752
3,40,0.00267773463649752
4,40,0.00267773463649752
5,27,0.00180747087963583
6,16,0.00107109385459901
7,24,0.00160664078189851
8,14,0.000937207122774133
9,22,0.00147275405007364
10,10,0.000669433659124381
11,15,0.00100415048868657
12,12,0.000803320390949257
13,18,0.00120498058642389
14,10,0.000669433659124381
15,10,0.000669433659124381
16,14,0.000937207122774133
17,3,0.000200830097737314
18,15,0.00100415048868657
19,4,0.000267773463649752
20,8,0.000535546927299505
21,4,0.000267773463649752
22,3,0.000200830097737314
23,5,0.00033471682956219
24,4,0.000267773463649752
25,2,0.000133886731824876
26,2,0.000133886731824876
27,5,0.00033471682956219
28,4,0.000267773463649752
29,3,0.000200830097737314
30,3,0.000200830097737314
31,3,0.000200830097737314
32,5,0.00033471682956219
33,3,0.000200830097737314
34,1,6.69433659124381e-05
35,3,0.000200830097737314
36,1,6.69433659124381e-05
37,3,0.000200830097737314
38,1,6.69433659124381e-05
40,1,6.69433659124381e-05
42,3,0.000200830097737314
43,3,0.000200830097737314
45,3,0.000200830097737314
46,2,0.000133886731824876
47,2,0.000133886731824876
48,1,6.69433659124381e-05
49,1,6.69433659124381e-05
50,2,0.000133886731824876
51,1,6.69433659124381e-05
52,2,0.000133886731824876
53,4,0.000267773463649752
54,3,0.000200830097737314
55,1,6.69433659124381e-05
56,2,0.000133886731824876
57,2,0.000133886731824876
58,2,0.000133886731824876
60,3,0.000200830097737314
61,2,0.000133886731824876
62,1,6.69433659124381e-05
63,2,0.000133886731824876
64,1,6.69433659124381e-05
65,1,6.69433659124381e-05
67,1,6.69433659124381e-05
68,4,0.000267773463649752
69,3,0.000200830097737314
70,1,6.69433659124381e-05
72,2,0.000133886731824876
73,1,6.69433659124381e-05
75,1,6.69433659124381e-05
76,1,6.69433659124381e-05
77,2,0.000133886731824876
78,2,0.000133886731824876
79,2,0.000133886731824876
81,1,6.69433659124381e-05
82,2,0.000133886731824876
83,3,0.000200830097737314
84,2,0.000133886731824876
85,1,6.69433659124381e-05
